draw,grid_point_index,grid_point_id,shift_index,centroid_time_shift_s,centroid_time,centroid_lat,centroid_lon,centroid_depth_km,offset_north_m,offset_east_m,on_grid_edge,space_time_cell_weight,space_time_cell_n_draws,dc_percent,clvd_percent,iso_percent,moment_Nm,Mw,NP1_strike_deg,NP1_dip_deg,NP1_rake_deg,NP2_strike_deg,NP2_dip_deg,NP2_rake_deg
339,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.48332260324636,-5.398082367298572,-12.118595029455056,1.0753462641881283e+18,5.987698887120998,289.3488052206098,79.1698353917778,115.5959096237844,40.766208322468216,27.649893952692402,23.884519547963336
340,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.67692181359307,-5.337480080913533,-11.985598105493406,1.0735517002809718e+18,5.987215309401091,289.38891519641976,79.18571891505874,115.60717931667857,40.768268794801266,27.6544050519292,23.843952570052465
341,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.51370351181382,-5.297972213996577,-12.18832427418961,1.0751371142598834e+18,5.987642569450952,289.3929044071568,79.16975487764896,115.61308587927383,40.79547221570614,27.665629477988556,23.87141418820744
342,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.52771092434197,-5.273920226974011,-12.198368848684028,1.074795817981389e+18,5.987550645286269,289.3961463790751,79.20431269260945,115.59793000934151,40.75049680275795,27.639169768454742,23.81376927954962
343,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.37871510217224,-5.388997991677442,-12.232286906150335,1.0768123723971092e+18,5.988093357920504,289.37307615438294,79.15625300541846,115.63187700332192,40.78323477969957,27.687740215917486,23.883975228361834
344,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.56502084298806,-5.3190056983695,-12.115973458642427,1.0742599422707884e+18,5.9874062545119715,289.35553520962435,79.1662909869887,115.62579806053218,40.75317644115379,27.678518235886184,23.868548870332546
345,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60221710750609,-5.425764626791671,-11.972018265702236,1.073218484711629e+18,5.987125429459447,289.37945616445404,79.17656043129425,115.67006231816528,40.720385369975865,27.715263434056926,23.813889943282376
346,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.54338306834336,-5.394066081653975,-12.062550850002667,1.0741979268441903e+18,5.987389539913742,289.40332852963934,79.1866845912055,115.59819045199394,40.7887966345667,27.64583147008987,23.848951491916196
347,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.49212262221023,-5.415082368768719,-12.092795009021055,1.075073310048517e+18,5.987625386750062,289.3862600762362,79.1799858192264,115.6061980921902,40.776656031987145,27.655598081951396,23.856211223712798
348,2282,2282,21,2.2,2026-07-16 09:14:56.528610,-45.03876463848813,167.57115766167544,69.15725759012517,0.0,-8728.196909627743,True,1.0,1000,82.60080435872102,-5.43915701647545,-11.960038624803534,1.0727935809307548e+18,5.987010777497798,289.35386461037484,79.17621469618702,115.5894330684371,40.7655803604283,27.64164267997709,23.876725832194836
